J-Date,Date,Weekday,Symbol,Open
1389-01-15,4/4/2010,Sunday,سکه امامی,2680000
1389-01-16,4/5/2010,Monday,سکه امامی,2680000
1389-01-17,4/6/2010,Tuesday,سکه امامی,2680000
1389-01-18,4/7/2010,Wednesday,سکه امامی,2710000
1389-01-20,4/9/2010,Friday,سکه امامی,2720000
1389-01-22,4/11/2010,Sunday,سکه امامی,2750000
1389-01-23,4/12/2010,Monday,سکه امامی,2760000
1389-01-24,4/13/2010,Tuesday,سکه امامی,2750000
1389-01-25,4/14/2010,Wednesday,سکه امامی,2745000
1389-01-27,4/16/2010,Friday,سکه امامی,2740000
1389-01-28,4/17/2010,Saturday,سکه امامی,2720000
1389-01-29,4/18/2010,Sunday,سکه امامی,2715000
1389-01-30,4/19/2010,Monday,سکه امامی,2710000
1389-01-31,4/20/2010,Tuesday,سکه امامی,2710000
1389-02-01,4/21/2010,Wednesday,سکه امامی,2730000
1389-02-03,4/23/2010,Friday,سکه امامی,2740000
1389-02-04,4/24/2010,Saturday,سکه امامی,2770000
1389-02-06,4/26/2010,Monday,سکه امامی,2750000
1389-02-07,4/27/2010,Tuesday,سکه امامی,2850000
1389-02-08,4/28/2010,Wednesday,سکه امامی,2780000
1389-02-10,4/30/2010,Friday,سکه امامی,2780000
1389-02-11,5/1/2010,Saturday,سکه امامی,2830000
1389-02-12,5/2/2010,Sunday,سکه امامی,2830000
1389-02-13,5/3/2010,Monday,سکه امامی,2820000
1389-02-14,5/4/2010,Tuesday,سکه امامی,2825000
1389-02-15,5/5/2010,Wednesday,سکه امامی,2870000
1389-02-17,5/7/2010,Friday,سکه امامی,2820000
1389-02-18,5/8/2010,Saturday,سکه امامی,2900000
1389-02-19,5/9/2010,Sunday,سکه امامی,2890000
1389-02-20,5/10/2010,Monday,سکه امامی,2870000
1389-02-21,5/11/2010,Tuesday,سکه امامی,2880000
1389-02-22,5/12/2010,Wednesday,سکه امامی,2950000
1389-02-24,5/14/2010,Friday,سکه امامی,2950000
1389-02-27,5/17/2010,Monday,سکه امامی,2930000
1389-02-28,5/18/2010,Tuesday,سکه امامی,2920000
1389-02-29,5/19/2010,Wednesday,سکه امامی,2920000
1389-02-31,5/21/2010,Friday,سکه امامی,2900000
1389-03-01,5/22/2010,Saturday,سکه امامی,2880000
1389-03-02,5/23/2010,Sunday,سکه امامی,2880000
1389-03-03,5/24/2010,Monday,سکه امامی,2900000
1389-03-04,5/25/2010,Tuesday,سکه امامی,2910000
1389-03-05,5/26/2010,Wednesday,سکه امامی,2950000
1389-03-07,5/28/2010,Friday,سکه امامی,2960000
1389-03-08,5/29/2010,Saturday,سکه امامی,2970000
1389-03-09,5/30/2010,Sunday,سکه امامی,2970000
1389-03-10,5/31/2010,Monday,سکه امامی,2980000
1389-03-11,6/1/2010,Tuesday,سکه امامی,3000000
1389-03-12,6/2/2010,Wednesday,سکه امامی,3040000
1389-03-15,6/5/2010,Saturday,سکه امامی,3020000
1389-03-16,6/6/2010,Sunday,سکه امامی,3015000
1389-03-17,6/7/2010,Monday,سکه امامی,3020000
1389-03-18,6/8/2010,Tuesday,سکه امامی,3070000
